Total Area,Average Area,Std of Area,Average Diameter,Std of Diameter,Ratio of particles
52913.46239999999,16.122322486288844,49.166767090174226,4.676928702010969,4.198172415165643,0.2190200090408325
No.,Area,Diameter,Location
1,0.8063999999999999,1.92,"[1370.142857142857, 2046.25]"
2,2.3903999999999996,3.84,"[1776.044176706827, 2045.4658634538152]"
3,1.5552,1.92,"[1399.962962962963, 2044.9259259259259]"
4,1.3536,2.16,"[1909.54609929078, 2043.1631205673757]"
5,2.0736,2.6399999999999997,"[205.98148148148147, 2043.236111111111]"
6,1.9584,2.4,"[509.0735294117647, 2042.0539215686274]"
7,2.1887999999999996,2.6399999999999997,"[1932.4692982456138, 2042.8026315789473]"
8,0.6911999999999999,1.68,"[1298.5, 2037.6944444444443]"
9,4.896,4.32,"[718.4333333333333, 2044.4725490196076]"
10,0.7488,2.6399999999999997,"[666.5641025641024, 2043.7564102564102]"
11,10.915199999999999,5.279999999999999,"[970.6763412489006, 2041.3491644678977]"
12,5.2416,4.56,"[1877.690476190476, 2037.598901098901]"
13,8.5536,4.56,"[1004.5690235690236, 2041.6711560044891]"
14,0.5184,2.4,"[482.79629629629625, 2034.296296296296]"
15,5.04,3.84,"[1634.5961904761903, 2038.9923809523807]"
16,1.3823999999999999,2.16,"[458.90277777777777, 2033.7638888888887]"
17,6.3936,3.84,"[428.85735735735733, 2035.1966966966966]"
18,1.7279999999999998,2.6399999999999997,"[1767.8444444444442, 2033.7777777777776]"
19,3.7151999999999994,3.12,"[1440.315245478036, 2032.6175710594312]"
20,8.0064,4.08,"[655.199040767386, 2033.9580335731412]"
21,27.388799999999996,7.68,"[1321.664213109008, 2039.2681388012618]"
22,1.5263999999999998,2.4,"[1051.2327044025155, 2029.7610062893082]"
23,1.0368,1.92,"[1758.324074074074, 2025.287037037037]"
24,3.2543999999999995,2.6399999999999997,"[1424.277286135693, 2027.1651917404129]"
25,1.1807999999999998,1.92,"[317.8211382113821, 2023.9756097560976]"
26,9.964799999999999,4.56,"[224.3949903660886, 2030.5876685934488]"
27,40.6944,8.4,"[1830.3333333333333, 2035.9417315404576]"
28,1.2959999999999998,1.92,"[469.99259259259253, 2024.3407407407406]"
29,2.5343999999999998,2.6399999999999997,"[937.8522727272727, 2024.4318181818182]"
30,19.9008,6.0,"[1694.0270139893871, 2031.2657983598647]"
31,4.8096,3.36,"[1349.4530938123753, 2025.245508982036]"
32,5.2416,4.32,"[671.1904761904761, 2023.1373626373627]"
33,3.2255999999999996,2.88,"[287.40476190476187, 2021.0625]"
34,2.2752,2.4,"[1321.2869198312235, 2018.9198312236285]"
35,0.8927999999999999,1.92,"[793.8602150537633, 2017.2043010752686]"
36,2.1024,2.16,"[1747.228310502283, 2017.2465753424658]"
37,1.5839999999999999,2.16,"[39.31515151515151, 2017.3090909090909]"
38,2.6208,2.6399999999999997,"[1671.5128205128203, 2017.7179487179485]"
39,3.6576,3.36,"[1627.4881889763778, 2020.073490813648]"
40,1.4112,2.16,"[212.85714285714286, 2017.2585034013603]"
41,1.4976,2.88,"[1643.923076923077, 2015.173076923077]"
42,1.7855999999999999,2.88,"[1436.521505376344, 2014.6290322580646]"
43,1.9007999999999998,2.6399999999999997,"[1068.232323232323, 2015.1262626262624]"
44,2.5056,3.12,"[1011.2068965517242, 2017.103448275862]"
45,17.0208,5.76,"[1456.7146080090242, 2020.8821206993794]"
46,0.5184,1.44,"[1330.9629629629628, 2010.0]"
47,82.7712,15.12,"[774.7952911157504, 2034.3629088378566]"
48,49.7664,9.6,"[349.58815586419746, 2024.0324074074074]"
49,5.932799999999999,4.32,"[267.08252427184465, 2014.7508090614886]"
50,0.6335999999999999,1.68,"[1917.9545454545455, 2009.3484848484848]"
51,1.7855999999999999,2.4,"[430.4784946236559, 2009.3225806451612]"
52,5.903999999999999,4.08,"[299.7154471544715, 2011.972357723577]"
53,7.8336,3.84,"[1395.8566176470588, 2009.9889705882354]"
54,1.1232,2.4,"[1557.2820512820513, 2005.820512820513]"
55,10.252799999999999,4.8,"[1787.7902621722844, 2011.1479400749063]"
56,3.0527999999999995,2.6399999999999997,"[1333.0880503144651, 2003.4088050314463]"
57,6.508799999999999,4.8,"[1733.6769911504425, 2009.8318584070796]"
58,20.5344,8.879999999999999,"[1229.6900420757363, 2017.6601215521268]"
59,1.2671999999999999,2.16,"[1049.8863636363637, 2002.4545454545455]"
60,13.1904,5.04,"[819.089519650655, 2009.0087336244542]"
