Total Area,Average Area,Std of Area,Average Diameter,Std of Diameter,Ratio of particles
234.11519999999996,1.2193499999999997,1.5542288562177708,1.625,0.6792459053980378,0.01550483703613281
No.,Area,Diameter,Location
1,0.7776,1.68,"[269.8641975308642, 510.0123456790123]"
2,0.7488,1.68,"[442.6794871794872, 508.0769230769231]"
3,0.9792,1.44,"[104.38235294117646, 508.47058823529414]"
4,0.5184,1.2,"[310.6111111111111, 507.3333333333333]"
5,1.0943999999999998,1.92,"[125.5438596491228, 508.38596491228066]"
6,0.576,0.96,"[403.0, 501.5]"
7,0.8063999999999999,1.2,"[53.0, 502.0]"
8,1.0655999999999999,2.6399999999999997,"[38.4054054054054, 502.4684684684684]"
9,1.4687999999999999,3.12,"[487.3986928104575, 499.1830065359477]"
10,3.3695999999999997,4.08,"[501.64957264957263, 495.3190883190883]"
11,1.2959999999999998,2.4,"[405.9407407407407, 493.80740740740737]"
12,0.7488,1.2,"[285.79487179487177, 490.79487179487177]"
13,3.4559999999999995,3.5999999999999996,"[468.06388888888887, 496.18888888888887]"
14,1.5552,2.88,"[505.74074074074076, 481.19135802469134]"
15,1.1232,2.16,"[279.5042735042735, 479.5470085470085]"
16,2.3903999999999996,1.92,"[46.626506024096386, 478.3534136546184]"
17,1.2384,1.68,"[5.17829457364341, 476.61240310077517]"
18,1.3823999999999999,1.68,"[442.375, 476.2916666666667]"
19,0.9503999999999999,1.44,"[201.06060606060606, 475.7878787878788]"
20,0.5184,1.2,"[84.55555555555556, 474.94444444444446]"
21,0.8063999999999999,1.44,"[254.78571428571428, 469.67857142857144]"
22,1.6703999999999999,1.92,"[181.20114942528735, 467.9022988505747]"
23,0.576,2.16,"[96.33333333333333, 470.7666666666666]"
24,0.6048,1.44,"[306.031746031746, 466.88888888888886]"
25,0.5184,0.96,"[391.6111111111111, 465.8888888888889]"
26,0.72,1.2,"[467.14666666666665, 462.8533333333333]"
27,0.5184,1.44,"[430.77777777777777, 463.6666666666667]"
28,1.3536,1.68,"[99.68085106382979, 460.241134751773]"
29,0.72,1.44,"[5.6933333333333325, 459.32]"
30,0.8351999999999999,1.2,"[484.97701149425285, 456.91954022988506]"
31,1.4687999999999999,2.16,"[494.1764705882353, 457.5751633986928]"
32,0.576,1.2,"[219.36666666666665, 454.7]"
33,0.576,1.2,"[490.2, 452.7]"
34,0.6335999999999999,1.44,"[279.96969696969694, 452.46969696969694]"
35,0.8639999999999999,2.6399999999999997,"[199.98888888888888, 449.68888888888887]"
36,0.6623999999999999,1.2,"[78.9855072463768, 443.66666666666663]"
37,0.5471999999999999,1.2,"[196.4035087719298, 436.438596491228]"
38,0.5184,1.2,"[253.48148148148144, 436.8333333333333]"
39,1.44,2.6399999999999997,"[23.646666666666665, 437.1533333333333]"
40,0.6048,0.96,"[481.07936507936506, 422.4444444444444]"
41,1.0368,1.92,"[137.7685185185185, 423.537037037037]"
42,0.5184,0.96,"[275.8333333333333, 418.44444444444446]"
43,0.8351999999999999,1.2,"[14.942528735632184, 418.94252873563215]"
44,0.8063999999999999,1.68,"[494.4642857142857, 416.8452380952381]"
45,3.3407999999999998,2.4,"[356.17241379310343, 418.2011494252873]"
46,0.6048,1.2,"[126.77777777777776, 415.3174603174603]"
47,0.6048,0.96,"[195.9206349206349, 413.55555555555554]"
48,0.8351999999999999,1.2,"[406.2298850574712, 410.1494252873563]"
49,1.2096,1.92,"[414.1507936507936, 411.1269841269841]"
50,1.0368,1.68,"[490.19444444444446, 407.22222222222223]"
51,0.9503999999999999,1.2,"[52.53535353535353, 406.020202020202]"
52,0.7488,1.44,"[34.15384615384615, 404.2692307692308]"
53,0.7488,2.16,"[131.66666666666666, 404.525641025641]"
54,0.8351999999999999,1.44,"[378.1609195402299, 400.48275862068965]"
55,0.5184,1.44,"[102.48148148148147, 398.8148148148148]"
56,0.5184,0.96,"[196.5, 394.5]"
57,1.2096,1.92,"[409.4682539682539, 395.6904761904762]"
58,0.8063999999999999,1.68,"[114.89285714285714, 393.2261904761904]"
59,0.72,1.68,"[431.78666666666663, 389.69333333333327]"
60,0.5184,0.96,"[488.55555555555554, 385.1666666666667]"
61,0.576,0.96,"[383.7333333333333, 383.4]"
62,0.6623999999999999,1.2,"[395.97101449275357, 380.927536231884]"
63,2.1887999999999996,2.16,"[499.9078947368421, 378.93859649122805]"
64,0.6048,1.68,"[389.14285714285717, 378.4126984126984]"
65,1.2096,1.68,"[64.83333333333333, 371.8412698412698]"
66,1.008,1.2,"[479.13333333333327, 369.4761904761905]"
67,0.576,0.96,"[410.0, 368.5]"
68,0.8639999999999999,1.44,"[387.4222222222222, 368.0777777777777]"
69,4.2048,2.6399999999999997,"[48.022831050228305, 369.7442922374429]"
70,1.3536,1.92,"[464.02836879432624, 364.0709219858156]"
71,0.576,0.96,"[377.3333333333333, 355.7333333333333]"
72,0.8927999999999999,1.44,"[344.4623655913978, 354.6881720430107]"
73,1.6127999999999998,1.68,"[74.69047619047618, 351.13095238095235]"
74,0.8927999999999999,1.2,"[211.0537634408602, 349.5698924731183]"
75,0.9792,1.2,"[383.86274509803917, 348.0]"
76,0.8063999999999999,1.2,"[164.76190476190476, 347.19047619047615]"
77,0.8927999999999999,1.2,"[346.2043010752688, 338.9462365591397]"
78,0.5184,1.2,"[433.42592592592587, 337.8148148148148]"
79,1.008,1.44,"[178.3238095238095, 335.56190476190477]"
80,0.5471999999999999,0.96,"[458.6140350877193, 332.7543859649123]"
81,18.1152,6.0,"[108.72496025437202, 337.73449920508745]"
82,6.5952,3.36,"[300.4366812227074, 329.15138282387187]"
83,0.6623999999999999,2.16,"[7.0724637681159415, 324.4927536231884]"
84,0.5471999999999999,0.96,"[464.80701754385956, 321.6140350877193]"
