Total Area,Average Area,Std of Area,Average Diameter,Std of Diameter,Ratio of particles
32559.12,35.161036717062636,83.26927124644939,6.919827213822894,5.577213434087618,0.03369227051734924
The 0 image:
No.,Area,Diameter,Location
1,6.048,4.32,"[789.779365079365, 2042.5523809523809]"
2,16.502399999999998,5.52,"[759.0796974985456, 2037.6253635834787]"
3,15.609599999999997,8.16,"[561.830258302583, 2029.2933579335793]"
4,56.3328,10.08,"[1496.3936605316974, 2020.2588616223584]"
5,20.275199999999998,6.4799999999999995,"[589.5061553030303, 2000.9976325757575]"
6,2.5343999999999998,4.56,"[107.08333333333331, 1991.5946969696968]"
7,213.43679999999998,19.2,"[1168.565420770926, 2011.80960734044]"
8,1.6127999999999998,2.4,"[1415.2142857142858, 1976.982142857143]"
9,1.2384,2.4,"[1093.7131782945735, 1976.7286821705425]"
10,56.9952,12.719999999999999,"[1943.276402223345, 2000.0929762506316]"
11,78.65279999999998,13.68,"[2004.0089100451603, 1987.1292566825339]"
12,3.7151999999999994,6.0,"[42.06201550387597, 1979.9922480620155]"
13,2.5631999999999997,3.36,"[3.284644194756554, 1968.12734082397]"
14,6.2783999999999995,5.04,"[242.11009174311926, 1965.0366972477063]"
15,86.19839999999999,13.92,"[1868.9831829825146, 1983.383338901882]"
16,2.88,4.08,"[1129.6133333333332, 1957.83]"
17,17.251199999999997,6.72,"[573.6304952698943, 1961.3121869782972]"
18,8.899199999999999,5.279999999999999,"[1429.8651564185543, 1942.1790722761593]"
19,116.03519999999999,14.16,"[781.0661868122776, 1958.102506825515]"
20,35.971199999999996,12.48,"[1943.7686148919136, 1925.9882572724844]"
21,0.9503999999999999,2.6399999999999997,"[1672.030303030303, 1917.5252525252524]"
22,1.44,2.6399999999999997,"[1763.753333333333, 1915.4266666666665]"
23,23.4144,6.72,"[1884.3480934809347, 1914.8786387863877]"
24,76.9824,11.52,"[246.86382341937897, 1909.5124080309263]"
25,46.886399999999995,9.36,"[349.6842751842752, 1904.7182637182634]"
26,1.6127999999999998,2.4,"[826.125, 1870.345238095238]"
27,5.4144,5.279999999999999,"[814.6968085106383, 1858.9414893617022]"
28,51.4944,11.28,"[1183.276659209545, 1848.8372483221476]"
29,101.088,13.44,"[729.795821462488, 1848.2539411206078]"
30,3.4271999999999996,4.08,"[1638.1960784313724, 1832.9971988795517]"
31,1.4976,1.92,"[1224.0064102564102, 1825.5448717948716]"
32,149.27039999999997,15.84,"[1302.7325229918322, 1845.406778570969]"
33,2.0448,3.84,"[1077.2347417840374, 1816.6525821596244]"
34,1.0368,3.12,"[1087.7685185185185, 1812.6759259259259]"
35,2.5919999999999996,2.88,"[1172.3074074074073, 1801.9518518518516]"
36,44.496,9.84,"[1552.833225458468, 1810.7937432578208]"
37,0.9503999999999999,2.4,"[1018.6363636363636, 1775.7676767676767]"
38,5.6735999999999995,5.279999999999999,"[1049.866328257191, 1775.7952622673433]"
39,40.1184,10.559999999999999,"[1837.6989710457046, 1757.5877004067959]"
40,3.7439999999999998,3.36,"[650.2307692307693, 1690.2]"
41,2.3327999999999998,2.88,"[108.18930041152262, 1654.6172839506173]"
42,3.6576,5.52,"[739.5643044619421, 1635.3832020997374]"
43,2.9952,2.88,"[471.99679487179486, 1610.3653846153845]"
44,19.0656,7.4399999999999995,"[1599.380664652568, 1617.7079556898286]"
45,1.3823999999999999,2.16,"[1908.5, 1601.423611111111]"
46,11.807999999999998,6.72,"[991.3813008130081, 1596.311382113821]"
47,1.1807999999999998,3.12,"[1669.642276422764, 1584.9186991869917]"
48,1.3536,3.12,"[218.31914893617022, 1578.2269503546097]"
49,0.5471999999999999,1.92,"[1903.1929824561403, 1574.421052631579]"
50,0.7776,2.88,"[1922.9135802469134, 1573.7777777777778]"
51,24.019199999999998,7.68,"[1741.021183053557, 1554.2817745803357]"
52,59.61599999999999,11.76,"[1681.0280193236715, 1541.629146537842]"
53,1.3823999999999999,4.8,"[555.75, 1521.3194444444443]"
54,0.5184,1.92,"[1875.5925925925924, 1514.4629629629628]"
55,493.8912,27.84,"[381.35185725115167, 1553.7806674830406]"
56,15.811199999999998,7.92,"[117.86338797814207, 1503.6448087431695]"
57,1.2096,2.6399999999999997,"[1147.0, 1488.1507936507935]"
58,0.5184,2.6399999999999997,"[168.64814814814815, 1469.574074074074]"
59,4.0032,4.56,"[1252.1606714628297, 1471.9016786570742]"
60,3.0527999999999995,4.8,"[174.81761006289307, 1463.122641509434]"
61,4.1184,4.32,"[1396.7412587412587, 1454.5221445221443]"
62,13.219199999999999,5.279999999999999,"[1228.9745824255626, 1455.506172839506]"
63,8.3232,5.52,"[345.7900807381776, 1405.3933102652825]"
64,0.5184,1.92,"[604.6666666666666, 1394.611111111111]"
65,1.0943999999999998,2.6399999999999997,"[1960.2017543859647, 1364.5438596491229]"
66,206.784,23.52,"[789.908495821727, 1390.812766945218]"
67,2.2464,3.84,"[631.0897435897435, 1357.551282051282]"
68,0.7776,1.92,"[144.72839506172838, 1330.506172839506]"
69,31.766399999999994,8.16,"[570.0093683892414, 1330.582653369598]"
70,23.155199999999997,6.96,"[1011.5472636815921, 1314.9361525704808]"
71,4.4064,4.32,"[619.8932461873637, 1307.0021786492373]"
72,6.048,5.04,"[280.7190476190476, 1307.304761904762]"
73,13.478399999999999,7.4399999999999995,"[603.0185185185185, 1301.6460113960113]"
74,16.3872,5.76,"[1140.9759812536613, 1294.5928529584064]"
75,1.4687999999999999,2.4,"[614.4052287581699, 1283.2418300653594]"
76,0.6335999999999999,1.44,"[388.530303030303, 1269.1818181818182]"
77,49.73759999999999,8.879999999999999,"[15.580968924917968, 1284.4900598340087]"
78,32.5728,7.4399999999999995,"[1242.2593575007368, 1268.89124668435]"
79,105.8976,14.639999999999999,"[189.72477563230893, 1275.7320279213125]"
80,0.576,1.2,"[165.26666666666665, 1212.5166666666667]"
81,1.5839999999999999,4.08,"[1291.8242424242424, 1202.2848484848482]"
82,4.2048,3.36,"[1300.9543378995431, 1199.9132420091323]"
83,0.6623999999999999,1.68,"[1292.8695652173913, 1192.4202898550723]"
84,34.64639999999999,9.6,"[1998.9678581324465, 1207.3369354391798]"
85,6.0192,4.8,"[622.5342902711324, 1195.5279106858054]"
86,0.7776,4.32,"[1277.2592592592594, 1184.9876543209875]"
87,20.9376,5.76,"[204.5515818431912, 1189.8807886290692]"
88,198.60479999999998,20.4,"[409.21597061098214, 1215.2630993812838]"
89,2.6208,3.36,"[1303.937728937729, 1179.142857142857]"
90,1.2959999999999998,5.04,"[1287.385185185185, 1174.6888888888889]"
91,3.1391999999999998,3.12,"[427.2140672782874, 1171.7003058103976]"
92,14.428799999999999,6.0,"[171.81104457751164, 1174.8735861610112]"
93,1.6416,2.88,"[343.140350877193, 1148.111111111111]"
94,2.6208,3.84,"[1573.032967032967, 1129.1758241758241]"
95,0.5184,1.2,"[363.18518518518516, 1111.888888888889]"
96,1.3823999999999999,2.16,"[292.9166666666667, 1107.8819444444443]"
97,0.8063999999999999,3.84,"[33.01190476190476, 1096.0357142857142]"
98,3.4848,4.08,"[337.6831955922865, 1085.0936639118456]"
99,91.55519999999999,14.879999999999999,"[309.25563594421726, 1097.1732200901752]"
100,4.0896,3.36,"[1137.8215962441313, 1069.2652582159624]"
101,0.5184,2.4,"[44.425925925925924, 1066.7222222222222]"
102,20.3616,7.92,"[61.94766619519095, 1063.8717586044318]"
103,22.176,6.4799999999999995,"[496.0935064935065, 1053.057142857143]"
104,2.7647999999999997,3.84,"[22.802083333333332, 1041.4583333333333]"
105,0.5471999999999999,2.16,"[877.2807017543859, 1031.2456140350876]"
106,0.6623999999999999,2.16,"[1298.2173913043478, 1021.1449275362319]"
107,4.4352,4.32,"[1774.9004329004326, 986.6753246753246]"
108,16.0992,7.4399999999999995,"[1916.137149672033, 988.5241502683364]"
109,85.88159999999999,12.719999999999999,"[374.5325285043595, 1001.0102839257768]"
110,1.8143999999999998,3.5999999999999996,"[99.17460317460318, 962.2010582010581]"
111,5.299199999999999,4.32,"[865.8786231884058, 958.9021739130435]"
112,1.3536,4.32,"[856.0992907801418, 949.9645390070921]"
113,11.577599999999999,5.04,"[476.3540630182421, 951.3590381426202]"
114,1.152,3.5999999999999996,"[677.9166666666666, 945.525]"
115,1.3247999999999998,1.92,"[839.7681159420289, 928.8768115942028]"
116,0.6335999999999999,2.4,"[866.7424242424241, 918.3636363636364]"
117,10.915199999999999,6.24,"[2041.8847845206683, 929.5848724714159]"
118,5.126399999999999,3.5999999999999996,"[840.2696629213483, 914.8408239700374]"
119,135.4176,18.24,"[303.1314334325819, 933.6186729051467]"
120,2.88,3.12,"[1728.9233333333332, 896.1333333333333]"
121,6.249599999999999,3.5999999999999996,"[887.9754224270353, 888.173579109063]"
122,62.179199999999994,12.0,"[1616.8678400494055, 897.6885903967885]"
123,6.048,5.279999999999999,"[1880.222222222222, 850.6603174603174]"
124,24.422399999999996,7.92,"[600.0680031446541, 854.498820754717]"
